Youth in Revolt,2010,G,52,Comedy,The Weinstein Company,None
You Will Meet a Tall Dark Stranger,2010,G,35,Comedy,Independent,None
When in Rome,2010,G,44,Comedy,Disney,None
What Happens in Vegas,2008,G,72,Comedy,Fox,None
Water For Elephants,2011,G,72,Drama,20th Century Fox,None
WALL-E,2008,G,89,Animation,Disney,None
Waitress,2007,G,67,Romance,Independent,None
Waiting For Forever,2011,G,53,Romance,Independent,None
Valentine's Day,2010,G,54,Comedy,Warner Bros.,None
Tyler Perry's Why Did I get Married,2007,G,47,Romance,Independent,None
Twilight: Breaking Dawn,2011,G,68,Romance,Independent,None
Twilight,2008,G,82,Romance,Summit,None
The Ugly Truth,2009,G,68,Comedy,Independent,None
The Twilight Saga: New Moon,2009,G,78,Drama,Summit,None
The Time Traveler's Wife,2009,G,65,Drama,Paramount,None
The Proposal,2009,G,74,Comedy,Disney,None
The Invention of Lying,2009,G,47,Comedy,Warner Bros.,None
The Heartbreak Kid,2007,G,41,Comedy,Paramount,None
The Duchess,2008,G,68,Drama,Paramount,None
The Curious Case of Benjamin Button,2008,G,81,Fantasy,Warner Bros.,None
The Back-up Plan,2010,G,47,Comedy,CBS,None
Tangled,2010,G,88,Animation,Disney,None
Something Borrowed,2011,G,48,Romance,Independent,None
She's Out of My League,2010,G,60,Comedy,Paramount,None
Sex and the City Two,2010,G,49,Comedy,Warner Bros.,None
Sex and the City 2,2010,G,49,Comedy,Warner Bros.,None
Sex and the City,2008,G,81,Comedy,Warner Bros.,None
Remember Me,2010,G,70,Drama,Summit,None
Rachel Getting Married,2008,G,61,Drama,Independent,None
Penelope,2008,G,74,Comedy,Summit,None
P.S. I Love You,2007,G,82,Romance,Independent,None
Over Her Dead Body,2008,G,47,Comedy,New Line,None
Our Family Wedding,2010,G,49,Comedy,Independent,None
One Day,2011,G,54,Romance,Independent,None
Not Easily Broken,2009,G,66,Drama,Independent,None
No Reservations,2007,G,64,Comedy,Warner Bros.,None
Nick and Norah's Infinite Playlist,2008,G,67,Comedy,Sony,None
New Year's Eve,2011,G,48,Romance,Warner Bros.,None
My Week with Marilyn,2011,G,84,Drama,The Weinstein Company,None
Music and Lyrics,2007,G,70,Romance,Warner Bros.,None
Monte Carlo,2011,G,50,Romance,20th Century Fox,None
Miss Pettigrew Lives for a Day,2008,G,70,Comedy,Independent,None
Midnight in Paris,2011,G,84,Romence,Sony,None
Marley and Me,2008,G,77,Comedy,Fox,None
Mamma Mia!,2008,G,76,Comedy,Universal,None
Mamma Mia!,2008,G,76,Comedy,Universal,None
Made of Honor,2008,G,61,Comdy,Sony,None
Love Happens,2009,G,40,Drama,Universal,None
Love & Other Drugs,2010,G,55,Comedy,Fox,None
Life as We Know It,2010,G,62,Comedy,Independent,None
License to Wed,2007,G,55,Comedy,Warner Bros.,None
Letters to Juliet,2010,G,62,Comedy,Summit,None
Leap Year,2010,G,49,Comedy,Universal,None
Knocked Up,2007,G,83,Comedy,Universal,None
Killers,2010,G,45,Action,Lionsgate,None
Just Wright,2010,G,58,Comedy,Fox,None
Jane Eyre,2011,G,77,Romance,Universal,None
It's Complicated,2009,G,63,Comedy,Universal,None
I Love You Phillip Morris,2010,G,57,Comedy,Independent,None
High School Musical 3: Senior Year,2008,G,76,Comedy,Disney,None
He's Just Not That Into You,2009,G,60,Comedy,Warner Bros.,None
Good Luck Chuck,2007,G,61,Comedy,Lionsgate,None
Going the Distance,2010,G,56,Comedy,Warner Bros.,None
Gnomeo and Juliet,2011,G,52,Animation,Disney,None
Gnomeo and Juliet,2011,G,52,Animation,Disney,None
Ghosts of Girlfriends Past,2009,G,47,Comedy,Warner Bros.,None
Four Christmases,2008,G,52,Comedy,Warner Bros.,None
Fireproof,2008,G,51,Drama,Independent,None
Enchanted,2007,G,80,Comedy,Disney,None
Dear John,2010,G,66,Drama,Sony,None
Beginners,2011,G,80,Comedy,Independent,None
Across the Universe,2007,G,84,romance,Independent,None
A Serious Man,2009,G,64,Drama,Universal,None
A Dangerous Method,2011,G,89,Drama,Independent,None
27 Dresses,2008,G,71,Comedy,Fox,None
